,image_name,door_or_face,image_type,gender,type,pct_endorsed_child,pct_endorsed_singledoor,general_dprime,highconfidence_treshold_dprime,highconfidence_subset_dprime,age_group,age_rating,ISSUES_lookingforwardsmiling,ISSUES_lookfake,ISSUES_standout,ISSUES_duplicate,ISSUES_SUM,door0_or_face1,distance,weights,subclass,use
53,generated_photos_5f897ae85bec8300083c6d27.png.jpg,face,girls_black,girls,black,0.541666667,NA,0.6477482,-0.525339497,1.314209585,non_child,14,0,1,2,0,3,1,0.370649886,1,21,task
,FF002,,,,,,,,,,,,,,,,,,,,,
54,number_98_generated_photos_5e6872876d3b380006ecfe9d.jpg,face,girls_black,girls,black,0.714285714,NA,0.423106031,-1.066534885,0.910772043,child,11,0,0,2,0,2,1,0.338730814,1,33,task
,FF015,,,,,,,,,,,,,,,,,,,,,
55,number_220_generated_photos_5e68148e6d3b380006d81a7b.jpg,face,girls_black,girls,black,0.318181818,NA,0.298040068,-1.080447963,0.517974477,non_child,14,0,0,0,0,0,1,0.412512599,1,38,task
,FF021,,,,,,,,,,,,,,,,,,,,,
56,number_103_photo-by-face-generator_649758a0541e9a000cac3602.jpg,face,girls_black,girls,black,0.818181818,NA,0.261625786,-1.483354479,-0.278764454,child,10,0,0,0,0,0,1,0.422312575,1,41,task
,FF040,,,,,,,,,,,,,,,,,,,,,
57,number_92_generated_photos_5e6866a46d3b380006ea4e27.jpg,face,girls_black,girls,black,0.818181818,NA,0.255340313,-1.370072296,-0.059348646,child,11,0,1,0,0,1,1,0.42396175,1,42,task
,FF032,,,,,,,,,,,,,,,,,,,,,
58,number_86_generated_photos_5f8982765bec8300083f1849.jpg_fixed.jpg,face,girls_black,girls,black,0.636363636,NA,0.234039274,-1.988909588,-0.05311771,child,10,0,3,2,1,6,1,0.280744288,1,3,task
,FF003,,,,,,,,,,,,,,,,,,,,,
59,generated_photos_5e68658c6d3b380006ea0c7b.png.jpg,face,girls_black,girls,black,0.944444444,NA,0.227721089,-1.054472452,0.320381801,child,11,0,0,1,1,2,1,0.461759215,1,4,task
,FF033,,,,,,,,,,,,,,,,,,,,,
60,generated_photos_5e6824c66d3b380006dba8f1.jpg,face,girls_black,girls,black,0.904761905,NA,0.181559945,-1.369821929,0.533284694,child,11,0,2,1,0,3,1,0.364418437,1,6,task
,FF008,,,,,,,,,,,,,,,,,,,,,
61,number_231_generated_photos_5f8982895bec8300083f1f87.jpg_fixed.jpg,face,girls_black,girls,black,0.238095238,NA,0.169161242,-1.377404888,-0.296501741,non_child,14,0,4,2,2,8,1,0.473792744,1,9,task
,FF025,,,,,,,,,,,,,,,,,,,,,
62,generated_photos_5f8973495bec830008399c2e.jpg,face,girls_black,girls,black,0.75,NA,0.168910095,-0.962067841,0.193811696,child,11,0,1,1,1,3,1,0.516935034,1,11,task
,,,,,,,,,,,,,,,,,,,,,,
63,generated_photos_5f896e395bec83000837c1e6.png.jpg,face,girls_black,girls,black,0.222222222,NA,0.05224518,-0.887146559,0.463707751,child,14,0,0,3,0,3,1,0.52777123,1,18,task
,,,,,,,,,,,,,,,,,,,,,,
64,generated_photos_5e68726d6d3b380006ecf8c5.png.jpg,face,girls_latino,girls,latino,0.8,NA,0.580484487,-1.489470042,0.358710773,child,11,0,0,0,1,1,1,0.275928224,1,23,task
65,generated_photos_5e6864ff6d3b380006e9ec05.png.jpg,face,girls_latino,girls,latino,0.952380952,NA,0.501000601,-1.636980882,0.129381996,child,9,0,1,2,0,3,1,0.284723136,1,27,task
66,generated_photos_5e682c4d6d3b380006dd4223.png.jpg,face,girls_latino,girls,latino,0.826086957,NA,0.477981758,-1.066713201,1.179369241,child,11,0,0,2,0,2,1,0.296117545,1,28,task
67,generated_photos_5e6856636d3b380006e6a3f9.png.jpg,face,girls_latino,girls,latino,1,NA,0.433449356,-1.58974444,1.045344133,child,11,0,1,2,0,3,1,0.213876507,1,32,task
68,generated_photos_5e6856486d3b380006e69db5.png.jpg,face,girls_latino,girls,latino,0.8125,NA,0.344102463,-0.774025159,1.132341681,child,12,0,2,1,0,3,1,0.399840166,1,36,task
69,number_117_generated_photos_5e685f536d3b380006e8a885.jpg,face,girls_latino,girls,latino,0.958333333,NA,0.27029832,-1.509698572,0.589455798,child,11,0,0,0,0,0,1,0.306294325,1,40,task
