image_name,door_or_face,image_type,gender,type,pct_endorsed_child,pct_endorsed_singledoor,general_dprime,highconfidence_treshold_dprime,highconfidence_subset_dprime,age_group,age_rating,ISSUES_lookingforwardsmiling,ISSUES_lookfake,ISSUES_standout,ISSUES_duplicate,ISSUES_SUM
number_6_generated_photos_5e686ef66d3b380006ec3235.jpg,face,boys_asian,boys,asian,1,NA,-0.474599918,-2.433555452,-0.362746046,child,10,0,0,0,1,1
number_61_648f1a10b1306400075f5f44.jpg,face,boys_white,boys,white,0.833333333,NA,0.289623537,-1.953907359,0.05311771,child,11,0,1,0,0,1
number_62_648f1bfdb1306400075f5f77.jpg,face,boys_white,boys,white,0.869565217,NA,0.107101285,-1.383105358,-0.059348646,child,12,0,1,0,0,1
number_64_648f221eb13064000d5fcd9e.jpg,face,girls_asian,girls,asian,0.909090909,NA,0.637816059,-1.509698572,0.729835874,child,8,0,0,2,0,2
number_65_generated_photos_5e6876586d3b380006edd923.jpg,face,girls_asian,girls,asian,0.764705882,NA,0.408054339,-1.151833465,0.114322142,child,9,0,0,2,0,2
number_66_648f3027b1306400095feddf.jpg,face,girls_asian,girls,asian,0.619047619,NA,-1.008014028,-1.408234118,0.10157614,child,9,0,1,1,0,2
number_67_648f31a8b130645170574d90.jpg,face,girls_asian,girls,asian,0.833333333,NA,0.458969432,-1.017018862,0.887146559,child,9,0,0,1,0,1
number_7_generated_photos_5e682d136d3b380006dd6bf7.jpg,face,boys_asian,boys,asian,0.9,NA,-0.261625786,-2.616846327,-0.940025788,child,11,0,0,0,0,0
number_8_generated_photos_5e681f0a6d3b380006da696d.jpg,face,boys_asian,boys,asian,0.857142857,NA,0.278611942,-2.152554,-0.513570354,child,12,0,0,0,0,0
number_83_generated_photos_5e686dbc6d3b380006ebeb6f_fixed.jpg,face,girls_black,girls,black,0.904761905,NA,1.139168656,-0.66894766,1.35085431,child,11,1,1,3,0,5
number_86_generated_photos_5f8982765bec8300083f1849.jpg_fixed.jpg,face,girls_black,girls,black,0.636363636,NA,0.234039274,-1.988909588,-0.05311771,child,10,0,3,2,1,6
number_92_generated_photos_5e6866a46d3b380006ea4e27.jpg,face,girls_black,girls,black,0.818181818,NA,0.255340313,-1.370072296,-0.059348646,child,11,0,1,0,0,1
number_95_15_B_F_004.jpg,face,girls_asian,girls,black,0.857142857,NA,-0.66894766,-1.854250868,-0.307239651,child,11,0,0,1,0,1
number_96_generated_photos_5e6824606d3b380006db9319_fixed.jpg,face,girls_black,girls,black,0.952380952,NA,1.139168656,0.580484487,2.02619199,child,9,0,1,3,0,4
number_98_generated_photos_5e6872876d3b380006ecfe9d.jpg,face,girls_black,girls,black,0.714285714,NA,0.423106031,-1.066534885,0.910772043,child,11,0,0,2,0,2
number_99_generated_photos_5f896ee85bec8300083803ef_fixed.jpg,face,girls_black,girls,black,0.8,NA,0.825494491,-0.077297002,1.204018312,child,11,1,0,4,1,6
generated_photos_5e6862566d3b380006e9552f.png.jpg,face,boys_asian,boys,asian,0.538461538,NA,0.683449913,-0.88449828,0.656670416,non_child,15,1,0,2,0,3
generated_photos_5e6863946d3b380006e99b8d.png.jpg,face,boys_asian,boys,asian,1,NA,-0.459388134,-2.126954203,-0.406741095,child,11,0,1,1,0,2
generated_photos_5e6864f36d3b380006e9e94f.png.jpg,face,girls_latino,girls,latino,0.842105263,NA,-0.318639364,-2.007603701,-0.491767704,non_child,15,0,1,1,1,3
generated_photos_5e6864f96d3b380006e9ea8f.png.jpg,face,girls_asian,girls,asian,0.666666667,NA,-0.05224518,-2.153781623,-0.398739166,child,11,0,2,1,0,3
